module,no,jurisdiction,authority_tier,law_or_bill,title_en,agency,effective_date,source_id,source_url,url_status
labor,1,Federal,federal,PUMP for Nursing Mothers Act (FLSA Section 7(r)),PUMP for Nursing Mothers Act — Break Time & Space to Pump,"U.S. Department of Labor, Wage and Hour Division (WHD)",2022-12-29,dcwp_dol_labor,https://www.dol.gov/agencies/whd/pump-at-work,bot_blocked
labor,2,Federal,federal,DOL 2024 Overtime Final Rule (FLSA White-Collar Salary Threshold) — Vacated,"DOL 2024 Overtime Salary Threshold Rule (Vacated; reverted to $35,568)","U.S. Department of Labor, Wage and Hour Division (WHD)",2024-11-15,dcwp_dol_labor,https://www.federalregister.gov/documents/2024/04/26/2024-08038/defining-and-delimiting-the-exemptions-for-executive-administrative-professional-outside-sales-and,live_200
labor,3,Federal,federal,DOL 80/20/30 Tip Credit Rule (2021) — Vacated by Restaurant Law Center v. DOL,DOL 80/20/30 Tipped-Employee Dual-Jobs Rule (Vacated 2024),"U.S. Department of Labor, Wage and Hour Division (WHD)",2024-08-23,dcwp_dol_labor,https://www.dol.gov/agencies/whd/flsa/tips,bot_blocked
labor,4,Federal,federal,DOL 2024 Independent Contractor Classification Rule (FLSA Economic Reality Test),DOL 2024 Employee vs. Independent Contractor Final Rule,"U.S. Department of Labor, Wage and Hour Division (WHD)",2024-03-11,dcwp_dol_labor,https://www.dol.gov/agencies/whd/flsa/misclassification/rulemaking,bot_blocked
labor,5,Federal,federal,NLRB Joint-Employer Standard (2020 Rule reinstated; 2023 Rule vacated),NLRB Joint-Employer Standard under the NLRA,National Labor Relations Board (NLRB),2024-03-08,dcwp_dol_labor,https://www.nlrb.gov/about-nlrb/what-we-do/the-standard-for-determining-joint-employer-status-final-rule,live_200
labor,6,Federal,federal,Executive Order 14026 — Minimum Wage for Federal Contractors (Revoked),Executive Order 14026 Federal Contractor Minimum Wage ($17.75) — Revoked,"U.S. Department of Labor, Wage and Hour Division (WHD)",2025-03-14,dcwp_dol_labor,https://www.dol.gov/agencies/whd/government-contracts/eo14026,bot_blocked
labor,7,Federal,federal,FLSA Child Labor Provisions for Nonagricultural Employment (29 CFR Part 570),FLSA Child Labor Provisions — Hours & Hazardous Orders (Restaurants),"U.S. Department of Labor, Wage and Hour Division (WHD)",,dcwp_dol_labor,https://www.dol.gov/agencies/whd/fact-sheets/2a-child-labor-restaurants,bot_blocked
labor,8,Federal,federal,Employee Polygraph Protection Act of 1988 (EPPA),Employee Polygraph Protection Act (EPPA),"U.S. Department of Labor, Wage and Hour Division (WHD)",1988-12-27,dcwp_dol_labor,https://www.dol.gov/agencies/whd/polygraph,bot_blocked
labor,9,Federal,federal,EEO-1 Component 1 Report (Title VII Section 709(c); 29 CFR 1602),EEO-1 Component 1 Workforce Demographic Report,U.S. Equal Employment Opportunity Commission (EEOC),,dcwp_dol_labor,https://www.eeoc.gov/data/eeo-1-employer-information-report-statistics,live_200
labor,10,Federal,federal,EEOC Enforcement Guidance on Harassment in the Workplace (2024) — Rescinded,EEOC 2024 Workplace Harassment Enforcement Guidance (Rescinded 2026),U.S. Equal Employment Opportunity Commission (EEOC),2026-01-22,dcwp_dol_labor,https://www.eeoc.gov/newsroom/eeoc-commission-votes-rescind-2024-harassment-guidance,live_200
labor,11,Federal,federal,OSHA Proposed Rule — Heat Injury and Illness Prevention in Outdoor and Indoor Work Settings,OSHA Proposed Heat Injury and Illness Prevention Standard,Occupational Safety and Health Administration (OSHA),,dcwp_dol_labor,https://www.osha.gov/heat-exposure/rulemaking,live_200
labor,12,New York State,state,Spread of Hours Pay (Minimum Wage Order for Miscellaneous Industries and Occupations),New York Spread of Hours Pay,New York State Department of Labor (Division of Labor Standards),,dcwp_dol_labor,https://www.law.cornell.edu/regulations/new-york/12-NYCRR-142-2.4,live_200
labor,13,New York State,state,Hospitality Industry Wage Order — Tip Credit and Tip Pooling (12 NYCRR Part 146),NY Hospitality Wage Order: Tip Credit & Tip Pooling,New York State Department of Labor,,dcwp_dol_labor,https://dol.ny.gov/hospitality-industry-wage-order-cr146,bot_blocked
labor,14,New York State,state,"Frequency of Pay for Manual Workers (Labor Law § 191), as amended by FY2026 Budget (A03006C / S3006, Ch. 56 of 2025)",NY Weekly Pay for Manual Workers (§191) & 2025 Damages Amendment,New York State Department of Labor / New York courts,2025-05-09,dcwp_dol_labor,https://www.nysenate.gov/legislation/bills/2025/S3006,bot_blocked
labor,15,New York State,state,"Wage Theft as Larceny (Penal Law § 155.05, amended by Chapter 353 of 2023, S2832-A)",NY Wage Theft Criminalized as Larceny,New York State / county district attorneys (criminal enforcement),2023-09-06,dcwp_dol_labor,https://www.nysenate.gov/legislation/bills/2023/S2832/amendment/A,bot_blocked
labor,16,New York State,state,New York State Worker Adjustment and Retraining Notification (WARN) Act (Labor Law § 860; 12 NYCRR Part 921),New York State WARN Act,New York State Department of Labor,2009-02-01,dcwp_dol_labor,https://dol.ny.gov/warn-notice-filing-instructions,live_200
labor,17,New York State,state,New York State Freelance Isn't Free Act (General Business Law Article 44-A),New York State Freelance Isn't Free Act (FIFA),New York State Department of Labor / New York State Attorney General,2024-08-28,dcwp_dol_labor,https://dol.ny.gov/freelance-isnt-free-act,live_200
labor,18,New York State,state,"New York Retail Worker Safety Act (Labor Law § 27-c, Chapter 308 of 2024, as amended)",New York Retail Worker Safety Act,New York State Department of Labor,2025-06-02,dcwp_dol_labor,https://www.nysenate.gov/legislation/bills/2023/S8358/amendment/C,bot_blocked
labor,19,New York State,state,New York Health and Essential Rights Act (NY HERO Act) — Airborne Infectious Disease Exposure Prevention (Labor Law §§ 218-b and 27-d),NY HERO Act — Airborne Infectious Disease Prevention Plan,New York State Department of Labor,2021-06-04,dcwp_dol_labor,https://dol.ny.gov/ny-hero-act,live_200
labor,20,New York State,state,Right of Nursing Employees to Express Breast Milk / Paid Lactation Breaks (Labor Law § 206-c),NY Nursing Employees — Paid Lactation Breaks (§206-c),New York State Department of Labor,2024-06-19,dcwp_dol_labor,https://dol.ny.gov/system/files/documents/2024/09/p705-policy-on-the-rights-of-employees-to-express-breast-milk-in-the-workplace_-24-1.pdf,bot_blocked
labor,21,New York City,city_local,NYC Temporary Schedule Change Law (NYC Admin. Code §§ 20-1261 to 20-1265),NYC Temporary Schedule Change Law,New York City Department of Consumer and Worker Protection (DCWP),2018-07-18,dcwp_dol_labor,https://www.nyc.gov/site/dca/workers/workersrights/know-your-worker-rights.page,live_200
labor,22,New Jersey,state,"New Jersey State Minimum Wage (Small Employer / Seasonal Track), N.J.S.A. 34:11-56a4",New Jersey Minimum Wage – Small Employer Track,"New Jersey Department of Labor and Workforce Development (NJDOL), Division of Wage and Hour Compliance",2026-01-01,dcwp_dol_labor,https://www.nj.gov/labor/lwdhome/press/2025/20251001_Minimum_Wage.shtml,live_200
labor,23,New Jersey,state,"New Jersey Earned Sick Leave Act, N.J.S.A. 34:11D-1 et seq.",New Jersey Earned Sick Leave Act,"New Jersey Department of Labor and Workforce Development (NJDOL), Division of Wage and Hour Compliance",2018-10-29,dcwp_dol_labor,https://www.nj.gov/labor/worker-protections/earnedsick/law.shtml,live_200
labor,24,New Jersey,state,"New Jersey State Wage and Hour Law – Overtime, N.J.S.A. 34:11-56a4 & N.J.A.C. 12:56-6.1",New Jersey Overtime Pay Requirement,"New Jersey Department of Labor and Workforce Development (NJDOL), Division of Wage and Hour Compliance",,dcwp_dol_labor,https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-12-56-6-1,live_200
